"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo Modelo Fabricante)";Sexo;"Faixa etária";Custo
coordenado-camisa-e-calca-csi250859;"COORDENADO CAMISA E CALÇA - CSI250859";"Categorias > Conjuntos, Sale > Conjuntos, Simone Gomes > Conjuntos";Cor;"SI25BR002 EMARANHADO";Tamanho;PP;;;1,094.57;;0.30;0.00;0.00;0.00;0;7890391105803;;SIM;NÃO;;"calca, camisa, coordenado, Simone Gomes, versatil";"Coordenado Camisa e Calça: Elegância e Versatilidade";"Conjunto camisa e calça moderno, elegante e confortável. Visual harmônico, prático e sofisticado. Garanta já o seu look versátil e atemporal!";"SIMONE GOMES";SIM;;;;
coordenado-camisa-e-calca-csi250859;;;Cor;"SI25BR002 EMARANHADO";Tamanho;P;;;1,094.57;;0.30;0.00;0.00;0.00;0;7890391105810;;;;;;;;;;;;;
coordenado-camisa-e-calca-csi250859;;;Cor;"SI25BR002 EMARANHADO";Tamanho;M;;;1,094.57;;0.30;0.00;0.00;0.00;0;7890391105827;;;;;;;;;;;;;
coordenado-camisa-e-calca-csi250859;;;Cor;"SI25BR002 EMARANHADO";Tamanho;G;;;1,094.57;;0.30;0.00;0.00;0.00;0;7890391105834;;;;;;;;;;;;;
coordenado-camisa-e-calca-csi250859;;;Cor;"SI25BR002 EMARANHADO";Tamanho;GG;;;1,094.57;;0.30;0.00;0.00;0.00;1;7890391105841;;;;;;;;;;;;;
camisa-manga-longa-csi250781;"CAMISA MANGA LONGA - CSI250781";"Categorias > Camisas > Camisa manga longa, Sale > Camisas, Simone Gomes > Camisas";Cor;"BRANCO (off white)";Tamanho;PP;;;528.77;;0.30;0.00;0.00;0.00;0;7890391098402;;SIM;NÃO;;"camisa, elegante, manga longa, Simone Gomes, versatil";"Camisa Manga Longa Clássica Versátil e Sofisticada";"Camisa manga longa clássica, versátil e elegante. Perfeita para looks casuais ou formais. Adquira já e renove seu visual com praticidade e estilo!";"SIMONE GOMES";SIM;;;;
camisa-manga-longa-csi250781;;;Cor;"BRANCO (off white)";Tamanho;P;;;528.77;;0.30;0.00;0.00;0.00;0;7890391098419;;;;;;;;;;;;;
camisa-manga-longa-csi250781;;;Cor;"BRANCO (off white)";Tamanho;M;;;528.77;;0.30;0.00;0.00;0.00;1;7890391098426;;;;;;;;;;;;;
camisa-manga-longa-csi250781;;;Cor;"BRANCO (off white)";Tamanho;G;;;528.77;;0.30;0.00;0.00;0.00;0;7890391098433;;;;;;;;;;;;;
camisa-manga-longa-csi250781;;;Cor;"BRANCO (off white)";Tamanho;GG;;;528.77;;0.30;0.00;0.00;0.00;0;7890391098440;;;;;;;;;;;;;
camisa-manga-longa-csi250781;;;Cor;"PRETO (Outer Space";Tamanho;PP;;;528.77;;0.30;0.00;0.00;0.00;0;7890391098501;;;;;;;;;;;;;
camisa-manga-longa-csi250781;;;Cor;"PRETO (Outer Space";Tamanho;P;;;528.77;;0.30;0.00;0.00;0.00;0;7890391098518;;;;;;;;;;;;;
