Referência;;Cor;;Tamanho;Peça Boa
 REST0962.2;CALÇA RETA VISCOSE;17-1212;CINZA (Fungi TC);PP;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;17-1212;CINZA (Fungi TC);P;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;17-1212;CINZA (Fungi TC);M;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;17-1212;CINZA (Fungi TC);G;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;17-1212;CINZA (Fungi TC);GG;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-0420;VERDE  (Four Leaf Clover TC);PP;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-3936;AZUL (Ebb and Flow;PP;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-0420;VERDE  (Four Leaf Clover TC);P;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-3936;AZUL (Ebb and Flow;P;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-0420;VERDE  (Four Leaf Clover TC);M;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-3936;AZUL (Ebb and Flow;M;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-0420;VERDE  (Four Leaf Clover TC);G;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-3936;AZUL (Ebb and Flow;G;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-0420;VERDE  (Four Leaf Clover TC);GG;7,8904E+12
;;;;;
 REST0962.2;CALÇA RETA VISCOSE;18-3936;AZUL (Ebb and Flow;GG;7,8904E+12
;;;;;
CAV242014;VESTIDO CURTO DE RETILÍNEA ;11-0602;BRANCO (off white);PP;7,89038E+12
;;;;;
CAV242014;VESTIDO CURTO DE RETILÍNEA ;11-0602;BRANCO (off white);P;7,89038E+12
;;;;;
CAV242014;VESTIDO CURTO DE RETILÍNEA ;11-0602;BRANCO (off white);M;7,89038E+12
;;;;;
CAV242014;VESTIDO CURTO DE RETILÍNEA ;11-0602;BRANCO (off white);G;7,89038E+12
;;;;;
