Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),google / cpc,2050,34,0,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),google / cpc,2030,25,0,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),google / cpc,2001,23,0,0,0
VESTIDO BALONE VELUDO - CI262044 (PRETO (Raven TC) (19-0000), G),google / cpc,1939,12,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),google / cpc,1919,5,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),google / cpc,1918,3,0,0,0
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),(direct) / (none),1577,21,0,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),(direct) / (none),1576,16,5,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),(direct) / (none),1570,16,0,0,0
VESTIDO BALONE VELUDO - CI262044 (PRETO (Raven TC) (19-0000), G),(direct) / (none),1517,14,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),(direct) / (none),1504,5,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),(direct) / (none),1502,0,0,0,0
BLUSA COM RENDA - CI250850 (PRETO (Raven TC), G),facebook / cpc03_interesses_top/estados_all,1501,263,23,1,81.920002
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),INSTAGRAM / LINKTREE,1364,38,0,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),INSTAGRAM / LINKTREE,1356,13,0,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),INSTAGRAM / LINKTREE,1356,17,0,0,0
MACACÃO ALFAIATRIA COM LAPELA - CSI250684 (Gray Sand TC (13-1010), G),facebook / cpc03_interesses_top/estados_all,1337,62,0,0,0
VESTIDO BALONE VELUDO - CI262044 (PRETO (Raven TC) (19-0000), G),INSTAGRAM / LINKTREE,1335,23,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),INSTAGRAM / LINKTREE,1319,12,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),INSTAGRAM / LINKTREE,1318,1,0,0,0
