"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo Modelo Fabricante)";Sexo;"Faixa etária";Custo
tshirt-bicolor-com-decote-v-e-estmpa-rest1574;"TSHIRT BICOLOR COM DECOTE V E ESTMPA - REST1574";"Categorias > Blusas > T-shirt, Authentic";Cor;"BRANCO (off white)";Tamanho;PP;;;99.90;;0.30;0.00;0.00;0.00;0;7890400105619;;SIM;NÃO;;"bicolor, estampado, GOLA V, RITMI, solta";"Tshirt bicolor com decote V e estampa moderna";"Tshirt bicolor leve, confortável e versátil. Estampa frontal, caimento soltinho e gola contrastante. Adicione estilo ao seu look! Garanta já a sua.";"RITMI STUDIO";SIM;;;;
tshirt-bicolor-com-decote-v-e-estmpa-rest1574;;;Cor;"BRANCO (off white)";Tamanho;P;;;99.90;;0.30;0.00;0.00;0.00;3;7890400105626;;;;;;;;;;;;;
tshirt-bicolor-com-decote-v-e-estmpa-rest1574;;;Cor;"BRANCO (off white)";Tamanho;M;;;99.90;;0.30;0.00;0.00;0.00;1;7890400105633;;;;;;;;;;;;;
tshirt-bicolor-com-decote-v-e-estmpa-rest1574;;;Cor;"BRANCO (off white)";Tamanho;G;;;99.90;;0.30;0.00;0.00;0.00;1;7890400105640;;;;;;;;;;;;;
tshirt-bicolor-com-decote-v-e-estmpa-rest1574;;;Cor;"BRANCO (off white)";Tamanho;GG;;;99.90;;0.30;0.00;0.00;0.00;0;7890400105657;;;;;;;;;;;;;
blusa-polo-de-listras-rest1566;"BLUSA POLO DE LISTRAS - REST1566";"Categorias > Blusas > Blusa Manga Longa, Authentic";Cor;"BORDO (Winetasting TC";Tamanho;PP;;;149.90;;0.30;0.00;0.00;0.00;3;7890400098546;;SIM;NÃO;;"blusa, conforto, listrada, RITMI, versatil";"Blusa Polo de Listras Feminina Moderna e Confortável";"Experimente a blusa polo de listras: leve, confortável, com caimento solto e toque sofisticado. Garanta estilo e versatilidade ao seu guarda-roupa!";"RITMI STUDIO";SIM;;;;
blusa-polo-de-listras-rest1566;;;Cor;"BORDO (Winetasting TC";Tamanho;P;;;149.90;;0.30;0.00;0.00;0.00;5;7890400098553;;;;;;;;;;;;;
blusa-polo-de-listras-rest1566;;;Cor;"BORDO (Winetasting TC";Tamanho;M;;;149.90;;0.30;0.00;0.00;0.00;10;7890400098560;;;;;;;;;;;;;
blusa-polo-de-listras-rest1566;;;Cor;"BORDO (Winetasting TC";Tamanho;G;;;149.90;;0.30;0.00;0.00;0.00;3;7890400098577;;;;;;;;;;;;;
blusa-polo-de-listras-rest1566;;;Cor;"BORDO (Winetasting TC";Tamanho;GG;;;149.90;;0.30;0.00;0.00;0.00;0;7890400098584;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;"BLUSA TRICOLOR MANGA LONGA - REST1582";"Categorias > Blusas > T-shirt, Authentic";Cor;"BRANCO (off white)";Tamanho;PP;;;114.90;;0.30;0.00;0.00;0.00;4;7890400098973;;SIM;NÃO;;"blusa, conforto, longa, RITMI, sofisticado";"Blusa tricolor manga longa algodão conforto estiloso";"Blusa tricolor manga longa em algodão. Toque macio, design moderno. Garanta já a sua e destaque-se com estilo e conforto!";"RITMI STUDIO";SIM;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"BRANCO (off white)";Tamanho;P;;;114.90;;0.30;0.00;0.00;0.00;8;7890400098980;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"BRANCO (off white)";Tamanho;M;;;114.90;;0.30;0.00;0.00;0.00;7;7890400098997;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"BRANCO (off white)";Tamanho;G;;;114.90;;0.30;0.00;0.00;0.00;5;7890400099000;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"BRANCO (off white)";Tamanho;GG;;;114.90;;0.30;0.00;0.00;0.00;1;7890400099017;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"CINZA (Oyster Gray TC)";Tamanho;PP;;;114.90;;0.30;0.00;0.00;0.00;3;7890400099024;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"CINZA (Oyster Gray TC)";Tamanho;P;;;114.90;;0.30;0.00;0.00;0.00;6;7890400099031;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"CINZA (Oyster Gray TC)";Tamanho;M;;;114.90;;0.30;0.00;0.00;0.00;6;7890400099048;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"CINZA (Oyster Gray TC)";Tamanho;G;;;114.90;;0.30;0.00;0.00;0.00;5;7890400099055;;;;;;;;;;;;;
blusa-tricolor-manga-longa-rest1582;;;Cor;"CINZA (Oyster Gray TC)";Tamanho;GG;;;114.90;;0.30;0.00;0.00;0.00;1;7890400099062;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;"TSHIRT BÁSICA COM ESTAMPA - REST1572.1";"Categorias > Blusas > T-shirt, Authentic";Cor;"AZUL  (Black Iris TC)";Tamanho;PP;;;99.90;;0.30;0.00;0.00;0.00;1;7890400104414;;SIM;NÃO;;"blusa, conforto, estampado, RITMI, versatil";"TSHIRT Básica Estampada Azul Conforto e Estilo Moderno";"Descubra a TSHIRT básica azul estampada: conforto, caimento fluido e estilo moderno. Vista elegância e praticidade, experimente já!";"RITMI STUDIO";SIM;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"AZUL  (Black Iris TC)";Tamanho;P;;;99.90;;0.30;0.00;0.00;0.00;3;7890400104421;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"AZUL  (Black Iris TC)";Tamanho;M;;;99.90;;0.30;0.00;0.00;0.00;3;7890400104438;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"AZUL  (Black Iris TC)";Tamanho;G;;;99.90;;0.30;0.00;0.00;0.00;2;7890400104445;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"AZUL  (Black Iris TC)";Tamanho;GG;;;99.90;;0.30;0.00;0.00;0.00;0;7890400104452;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"VERMELHO (Chili Pepper TC)";Tamanho;PP;;;99.90;;0.30;0.00;0.00;0.00;1;7890400104360;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"VERMELHO (Chili Pepper TC)";Tamanho;P;;;99.90;;0.30;0.00;0.00;0.00;1;7890400104377;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"VERMELHO (Chili Pepper TC)";Tamanho;M;;;99.90;;0.30;0.00;0.00;0.00;0;7890400104384;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"VERMELHO (Chili Pepper TC)";Tamanho;G;;;99.90;;0.30;0.00;0.00;0.00;1;7890400104391;;;;;;;;;;;;;
tshirt-basica-com-estampa-rest1572-1;;;Cor;"VERMELHO (Chili Pepper TC)";Tamanho;GG;;;99.90;;0.30;0.00;0.00;0.00;0;7890400104407;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;"SHORT BÁSICO COM ETIQUETA - REST1576.2";"Categorias > Shorts > Short Casual, Authentic";Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;PP;;;119.90;;0.30;0.00;0.00;0.00;1;7890400103462;;SIM;NÃO;;"conforto, feminino, RITMI, short, versatil";"Short Básico Feminino com Etiqueta RITMI Studio";"Short básico feminino em viscose com elastano, confortável e versátil. Ideal para looks casuais e estilosos. Garanta já o seu na RITMI!";"RITMI STUDIO";SIM;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;P;;;119.90;;0.30;0.00;0.00;0.00;5;7890400103479;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;M;;;119.90;;0.30;0.00;0.00;0.00;11;7890400103486;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;G;;;119.90;;0.30;0.00;0.00;0.00;3;7890400103493;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;GG;;;119.90;;0.30;0.00;0.00;0.00;0;7890400103509;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"VERDE (Bronze Green TC)";Tamanho;PP;;;119.90;;0.30;0.00;0.00;0.00;1;7890400103417;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"VERDE (Bronze Green TC)";Tamanho;P;;;119.90;;0.30;0.00;0.00;0.00;6;7890400103424;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"VERDE (Bronze Green TC)";Tamanho;M;;;119.90;;0.30;0.00;0.00;0.00;7;7890400103431;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"VERDE (Bronze Green TC)";Tamanho;G;;;119.90;;0.30;0.00;0.00;0.00;4;7890400103448;;;;;;;;;;;;;
short-basico-com-etiqueta-rest1576-2;;;Cor;"VERDE (Bronze Green TC)";Tamanho;GG;;;119.90;;0.30;0.00;0.00;0.00;2;7890400103455;;;;;;;;;;;;;
blusa-basica-rest1576-1;"BLUSA BÁSICA - REST1576.1";"Categorias > Blusas > Blusa Manga Curta, Authentic";Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;PP;;;89.90;;0.30;0.00;0.00;0.00;1;7890400103561;;SIM;NÃO;;"blusa, feminino, malha, RITMI, versatil";"Blusa Básica Feminina em Viscose com Elastano Ritmi";"Blusa básica confortável em viscose e elastano. Versátil e elegante, ideal para diversas ocasiões. Garanta já a sua Blusa Ritmi!";"RITMI STUDIO";SIM;;;;
blusa-basica-rest1576-1;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;P;;;89.90;;0.30;0.00;0.00;0.00;3;7890400103578;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;M;;;89.90;;0.30;0.00;0.00;0.00;7;7890400103585;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;G;;;89.90;;0.30;0.00;0.00;0.00;2;7890400103592;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"MARROM (CHOCOLATE TORTE TCX";Tamanho;GG;;;89.90;;0.30;0.00;0.00;0.00;0;7890400103608;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"VERDE (Bronze Green TC)";Tamanho;PP;;;89.90;;0.30;0.00;0.00;0.00;2;7890400103516;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"VERDE (Bronze Green TC)";Tamanho;P;;;89.90;;0.30;0.00;0.00;0.00;5;7890400103523;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"VERDE (Bronze Green TC)";Tamanho;M;;;89.90;;0.30;0.00;0.00;0.00;7;7890400103530;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"VERDE (Bronze Green TC)";Tamanho;G;;;89.90;;0.30;0.00;0.00;0.00;3;7890400103547;;;;;;;;;;;;;
blusa-basica-rest1576-1;;;Cor;"VERDE (Bronze Green TC)";Tamanho;GG;;;89.90;;0.30;0.00;0.00;0.00;2;7890400103554;;;;;;;;;;;;;
blusa-com-termocolante-rest0271;"BLUSA COM TERMOCOLANTE - REST0271";"Categorias > Blusas > Blusa Manga Curta, Sale > Blusas e Camisas, 50 off";Cor;"BRANCO (off white) (11-0602)";Tamanho;G;;;89.90;;0.30;0.00;0.00;0.00;0;7890400013280;;SIM;NÃO;;"blusa, elegancia, feminino, RITMI, versatil";"Blusa com Termocolante Feminina Versátil e Sofisticada";"Blusa com termocolante, caimento impecável, conforto e estilo. Ideal para diversas ocasiões. Atualize seu guarda-roupa com elegância. Compre agora!";"RITMI FR - RITMI STUDIO";SIM;;;;
blusa-com-termocolante-rest0271;;;Cor;"BRANCO (off white) (11-0602)";Tamanho;GG;;;89.90;;0.30;0.00;0.00;0.00;0;7890400013297;;;;;;;;;;;;;
blusa-com-termocolante-rest0271;;;Cor;"BRANCO (off white) (11-0602)";Tamanho;M;;;89.90;;0.30;0.00;0.00;0.00;0;7890400013273;;;;;;;;;;;;;
blusa-com-termocolante-rest0271;;;Cor;"BRANCO (off white) (11-0602)";Tamanho;P;;;89.90;;0.30;0.00;0.00;0.00;0;7890400013266;;;;;;;;;;;;;
blusa-com-termocolante-rest0271;;;Cor;"VERMELHO  (Fiery Red TC) (18-1664)";Tamanho;G;;;89.90;;0.30;0.00;0.00;0.00;0;7890400013327;;;;;;;;;;;;;
blusa-com-termocolante-rest0271;;;Cor;"VERMELHO  (Fiery Red TC) (18-1664)";Tamanho;GG;;;89.90;;0.30;0.00;0.00;0.00;1;7890400013334;;;;;;;;;;;;;
blusa-com-termocolante-rest0271;;;Cor;"VERMELHO  (Fiery Red TC) (18-1664)";Tamanho;M;;;89.90;;0.30;0.00;0.00;0.00;1;7890400013310;;;;;;;;;;;;;
blusa-com-termocolante-rest0271;;;Cor;"VERMELHO  (Fiery Red TC) (18-1664)";Tamanho;P;;;89.90;;0.30;0.00;0.00;0.00;8;7890400013303;;;;;;;;;;;;;
mini-saia-bolso-cargo-rest0316;"MINI SAIA BOLSO CARGO - REST0316";"Categorias > Saias > Saia Curta, Sale > Saias, 50 off";Cor;"PRETO (Raven TC) (19-0000)";Tamanho;G;;;109.90;;0.30;0.00;0.00;0.00;0;7890400012955;;SIM;NÃO;;"feminino, RITMI, saia, sofisticado, versatil";"Mini Saia Bolso Cargo versátil e sofisticada feminina";"Mini saia bolso cargo feminina, elegante e confortável. Ideal para looks modernos e profissionais. Aposte na versatilidade! Compre a sua agora.";"RITMI FR - RITMI STUDIO";SIM;;;;
mini-saia-bolso-cargo-rest0316;;;Cor;"PRETO (Raven TC) (19-0000)";Tamanho;M;;;109.90;;0.30;0.00;0.00;0.00;0;7890400012948;;;;;;;;;;;;;
